n0005_m04_p075__000.inst -> Ticks: 942.35 | Time: 0.859 | BnB nodes: 1447
n0005_m04_p075__001.inst -> Ticks: 3398.9 | Time: 2.828 | BnB nodes: 5129
n0005_m04_p075__002.inst -> Ticks: 954.66 | Time: 0.828 | BnB nodes: 2358
n0005_m04_p075__003.inst -> Ticks: 18446.45 | Time: 15.656 | BnB nodes: 21320
n0005_m04_p075__004.inst -> Ticks: 862.91 | Time: 0.766 | BnB nodes: 1180
n0005_m04_p090__000.inst -> Ticks: 5513.79 | Time: 4.64 | BnB nodes: 5952
n0005_m04_p090__001.inst -> Ticks: 6076.41 | Time: 5.25 | BnB nodes: 6804
n0005_m04_p090__002.inst -> Ticks: 77714.07 | Time: 59.89 | BnB nodes: 46360 | Status: Feasible
n0005_m04_p090__003.inst -> Ticks: 11898.24 | Time: 9.718 | BnB nodes: 10789
n0005_m04_p090__004.inst -> Ticks: 21885.42 | Time: 19.281 | BnB nodes: 25182
n0005_m05_p025__000.inst -> Ticks: 62.5 | Time: 0.109 | BnB nodes: 30
n0005_m05_p025__001.inst -> Ticks: 101.31 | Time: 0.094 | BnB nodes: 84
n0005_m05_p025__002.inst -> Ticks: 6.23 | Time: 0.031 | BnB nodes: 7
n0005_m05_p025__003.inst -> Ticks: 41.79 | Time: 0.078 | BnB nodes: 53
n0005_m05_p025__004.inst -> Ticks: 3.04 | Time: 0 | BnB nodes: 0
n0005_m05_p050__000.inst -> Ticks: 118.94 | Time: 0.156 | BnB nodes: 430
n0005_m05_p050__001.inst -> Ticks: 539.86 | Time: 0.5 | BnB nodes: 1155
n0005_m05_p050__002.inst -> Ticks: 718.17 | Time: 0.937 | BnB nodes: 1760
n0005_m05_p050__003.inst -> Ticks: 26637.48 | Time: 21.593 | BnB nodes: 27464
n0005_m05_p050__004.inst -> Ticks: 259.63 | Time: 0.234 | BnB nodes: 463
n0005_m05_p075__000.inst -> Ticks: 910.25 | Time: 0.75 | BnB nodes: 810
n0005_m05_p075__001.inst -> Ticks: 78115.06 | Time: 59.796 | BnB nodes: 38904 | Status: Feasible
n0005_m05_p075__002.inst -> Ticks: 807.11 | Time: 0.89 | BnB nodes: 644
n0005_m05_p075__003.inst -> Ticks: 73123.99 | Time: 59.843 | BnB nodes: 38849 | Status: Feasible
n0005_m05_p075__004.inst -> Ticks: 72261.72 | Time: 59.875 | BnB nodes: 89034 | Status: Feasible
n0005_m05_p090__000.inst -> Ticks: 80686.74 | Time: 59.921 | BnB nodes: 39827 | Status: Feasible
n0005_m05_p090__001.inst -> Ticks: 729.24 | Time: 0.64 | BnB nodes: 614
n0005_m05_p090__002.inst -> Ticks: 36884.62 | Time: 28.296 | BnB nodes: 18497
n0005_m05_p090__003.inst -> Ticks: 2447.13 | Time: 2.14 | BnB nodes: 3035
n0005_m05_p090__004.inst -> Ticks: 13875.57 | Time: 11.75 | BnB nodes: 11855
n0010_m01_p025__000.inst -> Ticks: 11.35 | Time: 0.031 | BnB nodes: 0
n0010_m01_p025__001.inst -> Ticks: 4.75 | Time: 0.015 | BnB nodes: 0
n0010_m01_p025__002.inst -> Ticks: 1.81 | Time: 0 | BnB nodes: 0
n0010_m01_p025__003.inst -> Ticks: 2.98 | Time: 0 | BnB nodes: 0
n0010_m01_p025__004.inst -> Ticks: 8.19 | Time: 0.031 | BnB nodes: 0
n0010_m01_p050__000.inst -> Ticks: 9.12 | Time: 0.015 | BnB nodes: 0
n0010_m01_p050__001.inst -> Ticks: 21.41 | Time: 0.031 | BnB nodes: 0
n0010_m01_p050__002.inst -> Ticks: 14.6 | Time: 0.015 | BnB nodes: 0
n0010_m01_p050__003.inst -> Ticks: 8.66 | Time: 0 | BnB nodes: 0
n0010_m01_p050__004.inst -> Ticks: 27.56 | Time: 0.031 | BnB nodes: 29
n0010_m01_p075__000.inst -> Ticks: 7.09 | Time: 0.015 | BnB nodes: 0
n0010_m01_p075__001.inst -> Ticks: 15.69 | Time: 0.031 | BnB nodes: 0
n0010_m01_p075__002.inst -> Ticks: 10.23 | Time: 0.015 | BnB nodes: 0
n0010_m01_p075__003.inst -> Ticks: 8.64 | Time: 0.031 | BnB nodes: 0
n0010_m01_p075__004.inst -> Ticks: 5.55 | Time: 0 | BnB nodes: 0
n0010_m01_p090__000.inst -> Ticks: 4.13 | Time: 0 | BnB nodes: 0
n0010_m01_p090__001.inst -> Ticks: 3.46 | Time: 0.015 | BnB nodes: 0
n0010_m01_p090__002.inst -> Ticks: 9.99 | Time: 0.016 | BnB nodes: 0
n0010_m01_p090__003.inst -> Ticks: 4.5 | Time: 0 | BnB nodes: 0
n0010_m01_p090__004.inst -> Ticks: 4.86 | Time: 0.031 | BnB nodes: 0
n0010_m02_p025__000.inst -> Ticks: 39.72 | Time: 0.062 | BnB nodes: 0
n0010_m02_p025__001.inst -> Ticks: 201.77 | Time: 0.203 | BnB nodes: 58
n0010_m02_p025__002.inst -> Ticks: 271.1 | Time: 0.265 | BnB nodes: 361
n0010_m02_p025__003.inst -> Ticks: 159.31 | Time: 0.171 | BnB nodes: 254
n0010_m02_p025__004.inst -> Ticks: 166.87 | Time: 0.187 | BnB nodes: 89
n0010_m02_p050__000.inst -> Ticks: 18169.54 | Time: 13.375 | BnB nodes: 9309
n0010_m02_p050__001.inst -> Ticks: 1770.41 | Time: 1.328 | BnB nodes: 1652
n0010_m02_p050__002.inst -> Ticks: 922.66 | Time: 0.703 | BnB nodes: 993
n0010_m02_p050__003.inst -> Ticks: 308.52 | Time: 0.328 | BnB nodes: 172
n0010_m02_p050__004.inst -> Ticks: 211.74 | Time: 0.218 | BnB nodes: 51
n0010_m02_p075__000.inst -> Ticks: 932.92 | Time: 0.703 | BnB nodes: 1063
n0010_m02_p075__001.inst -> Ticks: 43984.92 | Time: 29.891 | BnB nodes: 15036
n0010_m02_p075__002.inst -> Ticks: 4733.84 | Time: 3.515 | BnB nodes: 4162
n0010_m02_p075__003.inst -> Ticks: 2263.68 | Time: 1.671 | BnB nodes: 1378
n0010_m02_p075__004.inst -> Ticks: 14428.75 | Time: 9.812 | BnB nodes: 6731
n0010_m02_p090__000.inst -> Ticks: 6527.32 | Time: 4.578 | BnB nodes: 6001
n0010_m02_p090__001.inst -> Ticks: 14440.15 | Time: 9.843 | BnB nodes: 6498
n0010_m02_p090__002.inst -> Ticks: 87661.23 | Time: 59.734 | BnB nodes: 34083 | Status: Feasible
n0010_m02_p090__003.inst -> Ticks: 16320.5 | Time: 10.968 | BnB nodes: 5694
n0010_m02_p090__004.inst -> Ticks: 82439.24 | Time: 59.968 | BnB nodes: 52613 | Status: Feasible
n0010_m03_p025__000.inst -> Ticks: 892.52 | Time: 0.718 | BnB nodes: 679
n0010_m03_p025__001.inst -> Ticks: 144.69 | Time: 0.14 | BnB nodes: 199
n0010_m03_p025__002.inst -> Ticks: 2460.48 | Time: 1.828 | BnB nodes: 1571
n0010_m03_p025__003.inst -> Ticks: 165.91 | Time: 0.171 | BnB nodes: 0
n0010_m03_p025__004.inst -> Ticks: 4864.21 | Time: 3.64 | BnB nodes: 3455
n0010_m03_p050__000.inst -> Ticks: 59164.1 | Time: 39.39 | BnB nodes: 17627
n0010_m03_p050__001.inst -> Ticks: 90512.47 | Time: 58.656 | BnB nodes: 29270
n0010_m03_p050__002.inst -> Ticks: 91988.0 | Time: 59.781 | BnB nodes: 21296 | Status: Feasible
n0010_m03_p050__003.inst -> Ticks: 25737.93 | Time: 19.531 | BnB nodes: 18172
n0010_m03_p050__004.inst -> Ticks: 84197.1 | Time: 59.875 | BnB nodes: 36947 | Status: Feasible
n0010_m03_p075__000.inst -> Ticks: 84365.89 | Time: 59.953 | BnB nodes: 25468 | Status: Feasible
n0010_m03_p075__001.inst -> Ticks: 85741.62 | Time: 59.922 | BnB nodes: 26081 | Status: Feasible
n0010_m03_p075__002.inst -> Ticks: 82433.59 | Time: 59.843 | BnB nodes: 30700 | Status: Feasible
n0010_m03_p075__003.inst -> Ticks: 89583.86 | Time: 59.906 | BnB nodes: 21477 | Status: Feasible
n0010_m03_p075__004.inst -> Ticks: 85501.97 | Time: 59.937 | BnB nodes: 20366 | Status: Feasible
n0010_m03_p090__000.inst -> Ticks: 84643.23 | Time: 59.875 | BnB nodes: 13292 | Status: Feasible
n0010_m03_p090__001.inst -> Ticks: 86279.56 | Time: 59.875 | BnB nodes: 13835 | Status: Feasible
n0010_m03_p090__002.inst -> Ticks: 90015.74 | Time: 59.781 | BnB nodes: 18497 | Status: Feasible
n0010_m03_p090__003.inst -> Ticks: 86774.72 | Time: 59.703 | BnB nodes: 10916 | Status: Feasible
n0010_m03_p090__004.inst -> Ticks: 91191.25 | Time: 59.968 | BnB nodes: 13486 | Status: Feasible
n0010_m04_p025__000.inst -> Ticks: 2351.47 | Time: 1.75 | BnB nodes: 1238
n0010_m04_p025__001.inst -> Ticks: 42547.25 | Time: 29.656 | BnB nodes: 21215
n0010_m04_p025__002.inst -> Ticks: 49792.19 | Time: 37.921 | BnB nodes: 22725
n0010_m04_p025__003.inst -> Ticks: 5182.56 | Time: 3.906 | BnB nodes: 2347
n0010_m04_p025__004.inst -> Ticks: 86715.48 | Time: 59.781 | BnB nodes: 20011 | Status: Feasible
n0010_m04_p050__000.inst -> Ticks: 87293.59 | Time: 59.718 | BnB nodes: 19546 | Status: Feasible
n0010_m04_p050__001.inst -> Ticks: 53391.25 | Time: 37.14 | BnB nodes: 26728
n0010_m04_p050__002.inst -> Ticks: 87709.4 | Time: 59.843 | BnB nodes: 24200 | Status: Feasible
n0010_m04_p050__003.inst -> Ticks: 18284.39 | Time: 13.406 | BnB nodes: 7872
n0010_m04_p050__004.inst -> Ticks: 88213.29 | Time: 59.906 | BnB nodes: 17731 | Status: Feasible
n0010_m04_p075__000.inst -> Ticks: 33393.69 | Time: 22.156 | BnB nodes: 9163
n0010_m04_p075__001.inst -> Ticks: 87370.31 | Time: 59.812 | BnB nodes: 7899 | Status: Feasible
n0010_m04_p075__002.inst -> Ticks: 87356.17 | Time: 59.797 | BnB nodes: 12563 | Status: Feasible
n0010_m04_p075__003.inst -> Ticks: 87184.42 | Time: 59.921 | BnB nodes: 11646 | Status: Feasible
n0010_m04_p075__004.inst -> Ticks: 92196.92 | Time: 59.984 | BnB nodes: 11006 | Status: Feasible
n0010_m04_p090__000.inst -> Ticks: 82382.42 | Time: 59.906 | BnB nodes: 13969 | Status: Feasible
n0010_m04_p090__001.inst -> Ticks: 84515.44 | Time: 59.953 | BnB nodes: 14827 | Status: Feasible
n0010_m04_p090__002.inst -> Ticks: 87591.43 | Time: 59.921 | BnB nodes: 6955 | Status: Feasible
n0010_m04_p090__003.inst -> Ticks: 86139.24 | Time: 59.875 | BnB nodes: 11596 | Status: Feasible
n0010_m04_p090__004.inst -> Ticks: 83917.18 | Time: 59.875 | BnB nodes: 8185 | Status: Feasible
n0010_m05_p025__000.inst -> Ticks: 84199.28 | Time: 59.906 | BnB nodes: 35134 | Status: Feasible
n0010_m05_p025__001.inst -> Ticks: 88516.29 | Time: 59.906 | BnB nodes: 20803 | Status: Feasible
n0010_m05_p025__002.inst -> Ticks: 88287.7 | Time: 59.875 | BnB nodes: 24327 | Status: Feasible
n0010_m05_p025__003.inst -> Ticks: 87804.39 | Time: 59.859 | BnB nodes: 25941 | Status: Feasible
n0010_m05_p025__004.inst -> Ticks: 89804.63 | Time: 59.89 | BnB nodes: 24450 | Status: Feasible
