n0015_m05__004.inst -> Ticks: 3174.6 | Time: 3.906 | BnB nodes: 2624
n0020_m01__000.inst -> Ticks: 214.2 | Time: 0.375 | BnB nodes: 1103
n0020_m01__001.inst -> Ticks: 158.96 | Time: 0.266 | BnB nodes: 1145
n0020_m01__002.inst -> Ticks: 1804.54 | Time: 2.281 | BnB nodes: 2536
n0020_m01__003.inst -> Ticks: 22.67 | Time: 0.078 | BnB nodes: 60
n0020_m01__004.inst -> Ticks: 13.81 | Time: 0.062 | BnB nodes: 0
n0020_m02__000.inst -> Ticks: 91.28 | Time: 0.203 | BnB nodes: 277
n0020_m02__001.inst -> Ticks: 18366.72 | Time: 19.281 | BnB nodes: 9234
n0020_m02__002.inst -> Ticks: 1149.87 | Time: 1.453 | BnB nodes: 1576
n0020_m02__003.inst -> Ticks: 1085.57 | Time: 1.453 | BnB nodes: 1099
n0020_m02__004.inst -> Ticks: 1225.36 | Time: 1.515 | BnB nodes: 1085
n0020_m03__000.inst -> Ticks: 2548.63 | Time: 3.031 | BnB nodes: 1252
n0020_m03__001.inst -> Ticks: 63.51 | Time: 0.156 | BnB nodes: 0
n0020_m03__002.inst -> Ticks: 1511.95 | Time: 1.953 | BnB nodes: 1291
n0020_m03__003.inst -> Ticks: 33310.23 | Time: 34.125 | BnB nodes: 5976
n0020_m03__004.inst -> Ticks: 4242.53 | Time: 5.375 | BnB nodes: 3861
n0020_m04__000.inst -> Ticks: 3375.1 | Time: 4.015 | BnB nodes: 2144
n0020_m04__001.inst -> Ticks: 3845.35 | Time: 4.437 | BnB nodes: 1309
n0020_m04__002.inst -> Ticks: 1952.76 | Time: 2.593 | BnB nodes: 2068
n0020_m04__003.inst -> Ticks: 3323.43 | Time: 3.796 | BnB nodes: 1285
n0020_m04__004.inst -> Ticks: 1328.58 | Time: 1.937 | BnB nodes: 988
n0020_m05__000.inst -> Ticks: 3434.66 | Time: 4.14 | BnB nodes: 2026
n0020_m05__001.inst -> Ticks: 9011.11 | Time: 9.906 | BnB nodes: 4480
n0020_m05__002.inst -> Ticks: 2163.96 | Time: 2.5 | BnB nodes: 1489
n0020_m05__003.inst -> Ticks: 1754.9 | Time: 2.218 | BnB nodes: 2123
n0020_m05__004.inst -> Ticks: 12171.29 | Time: 13.234 | BnB nodes: 5249
n0025_m01__000.inst -> Ticks: 105.0 | Time: 0.203 | BnB nodes: 528
n0025_m01__001.inst -> Ticks: 51.4 | Time: 0.203 | BnB nodes: 250
n0025_m01__002.inst -> Ticks: 214.58 | Time: 0.375 | BnB nodes: 562
n0025_m01__003.inst -> Ticks: 441.08 | Time: 0.609 | BnB nodes: 1283
n0025_m01__004.inst -> Ticks: 504.33 | Time: 0.719 | BnB nodes: 1004
n0025_m02__000.inst -> Ticks: 2073.56 | Time: 2.453 | BnB nodes: 1450
n0025_m02__001.inst -> Ticks: 1620.2 | Time: 1.937 | BnB nodes: 1130
n0025_m02__002.inst -> Ticks: 2130.59 | Time: 2.39 | BnB nodes: 1799
n0025_m02__003.inst -> Ticks: 3752.7 | Time: 4.421 | BnB nodes: 1293
n0025_m02__004.inst -> Ticks: 1566.8 | Time: 1.843 | BnB nodes: 1180
n0025_m03__000.inst -> Ticks: 6462.35 | Time: 6.906 | BnB nodes: 4033
n0025_m03__001.inst -> Ticks: 3483.05 | Time: 3.969 | BnB nodes: 1999
n0025_m03__002.inst -> Ticks: 6183.16 | Time: 6.343 | BnB nodes: 1905
n0025_m03__003.inst -> Ticks: 4201.58 | Time: 4.594 | BnB nodes: 1933
n0025_m03__004.inst -> Ticks: 250.38 | Time: 0.375 | BnB nodes: 3
n0025_m04__000.inst -> Ticks: 5218.49 | Time: 5.515 | BnB nodes: 1437
