n0005_m04_p075__000.inst -> Ticks: 750.74 | Time: 0.89 | BnB nodes: 1275
n0005_m04_p075__001.inst -> Ticks: 1914.2 | Time: 2.078 | BnB nodes: 4005
n0005_m04_p075__002.inst -> Ticks: 1142.94 | Time: 1.187 | BnB nodes: 3250
n0005_m04_p075__003.inst -> Ticks: 14993.13 | Time: 15.14 | BnB nodes: 26386
n0005_m04_p075__004.inst -> Ticks: 570.53 | Time: 0.593 | BnB nodes: 1116
n0005_m04_p090__000.inst -> Ticks: 3458.88 | Time: 3.656 | BnB nodes: 5498
n0005_m04_p090__001.inst -> Ticks: 4787.81 | Time: 4.796 | BnB nodes: 8516
n0005_m04_p090__002.inst -> Ticks: 65536.85 | Time: 59.656 | BnB nodes: 60752 | Status: Feasible
n0005_m04_p090__003.inst -> Ticks: 8828.19 | Time: 8.375 | BnB nodes: 9984
n0005_m04_p090__004.inst -> Ticks: 15273.95 | Time: 15.375 | BnB nodes: 25747
n0005_m05_p025__000.inst -> Ticks: 38.76 | Time: 0.063 | BnB nodes: 26
n0005_m05_p025__001.inst -> Ticks: 105.31 | Time: 0.156 | BnB nodes: 89
n0005_m05_p025__002.inst -> Ticks: 5.18 | Time: 0.031 | BnB nodes: 0
n0005_m05_p025__003.inst -> Ticks: 39.45 | Time: 0.093 | BnB nodes: 65
n0005_m05_p025__004.inst -> Ticks: 4.87 | Time: 0.031 | BnB nodes: 0
n0005_m05_p050__000.inst -> Ticks: 108.08 | Time: 0.156 | BnB nodes: 481
n0005_m05_p050__001.inst -> Ticks: 572.24 | Time: 0.625 | BnB nodes: 1467
n0005_m05_p050__002.inst -> Ticks: 654.32 | Time: 0.703 | BnB nodes: 2275
n0005_m05_p050__003.inst -> Ticks: 11626.25 | Time: 11.781 | BnB nodes: 18152
n0005_m05_p050__004.inst -> Ticks: 200.76 | Time: 0.218 | BnB nodes: 418
n0005_m05_p075__000.inst -> Ticks: 768.36 | Time: 0.781 | BnB nodes: 978
n0005_m05_p075__001.inst -> Ticks: 66245.97 | Time: 59.781 | BnB nodes: 49769 | Status: Feasible
n0005_m05_p075__002.inst -> Ticks: 492.03 | Time: 0.5 | BnB nodes: 813
n0005_m05_p075__003.inst -> Ticks: 63115.29 | Time: 59.765 | BnB nodes: 49640 | Status: Feasible
n0005_m05_p075__004.inst -> Ticks: 35141.07 | Time: 37.734 | BnB nodes: 70890
n0005_m05_p090__000.inst -> Ticks: 63587.14 | Time: 59.796 | BnB nodes: 45586 | Status: Feasible
n0005_m05_p090__001.inst -> Ticks: 517.92 | Time: 0.671 | BnB nodes: 590
n0005_m05_p090__002.inst -> Ticks: 19695.08 | Time: 19.5 | BnB nodes: 14718
n0005_m05_p090__003.inst -> Ticks: 1582.03 | Time: 1.843 | BnB nodes: 2653
n0005_m05_p090__004.inst -> Ticks: 11513.47 | Time: 13.234 | BnB nodes: 17012
n0010_m01_p025__000.inst -> Ticks: 8.76 | Time: 0.015 | BnB nodes: 0
n0010_m01_p025__001.inst -> Ticks: 3.86 | Time: 0.015 | BnB nodes: 0
n0010_m01_p025__002.inst -> Ticks: 3.2 | Time: 0 | BnB nodes: 0
n0010_m01_p025__003.inst -> Ticks: 1.95 | Time: 0 | BnB nodes: 0
