n0025_m01__000.inst -> Ticks: 52.29 | Time: 0.078
n0025_m01__001.inst -> Ticks: 39.81 | Time: 0.046
n0025_m01__002.inst -> Ticks: 71.68 | Time: 0.093
n0025_m01__003.inst -> Ticks: 734.82 | Time: 0.578
n0025_m01__004.inst -> Ticks: 506.03 | Time: 0.437
n0025_m02__000.inst -> Ticks: 1289.01 | Time: 1.046
n0025_m02__001.inst -> Ticks: 275.98 | Time: 0.281
n0025_m02__002.inst -> Ticks: 2269.68 | Time: 1.89
n0025_m02__003.inst -> Ticks: 953.74 | Time: 0.797
n0025_m02__004.inst -> Ticks: 2468.51 | Time: 1.843
n0025_m03__000.inst -> Ticks: 3056.26 | Time: 2.25
n0025_m03__001.inst -> Ticks: 4652.83 | Time: 3.39
n0025_m03__002.inst -> Ticks: 6282.98 | Time: 4.203
n0025_m03__003.inst -> Ticks: 2011.83 | Time: 1.609
n0025_m03__004.inst -> Ticks: 178.36 | Time: 0.203
n0025_m04__000.inst -> Ticks: 20245.81 | Time: 15.39
n0025_m04__001.inst -> Ticks: 3102.46 | Time: 2.391
n0025_m04__002.inst -> Ticks: 4293.88 | Time: 3.218
n0025_m04__003.inst -> Ticks: 21088.53 | Time: 14.359
n0025_m04__004.inst -> Ticks: 52211.49 | Time: 36.406
n0025_m05__000.inst -> Ticks: 592.99 | Time: 0.546
n0025_m05__001.inst -> Ticks: 1742.85 | Time: 1.312
n0025_m05__002.inst -> Ticks: 1352.05 | Time: 1.062
n0025_m05__003.inst -> Ticks: 29160.51 | Time: 18.828
n0025_m05__004.inst -> Ticks: 4233.93 | Time: 3.187
n0030_m01__000.inst -> Ticks: 132.05 | Time: 0.125
n0030_m01__001.inst -> Ticks: 538.72 | Time: 0.453
n0030_m01__002.inst -> Ticks: 234.21 | Time: 0.203
n0030_m01__003.inst -> Ticks: 1764.56 | Time: 1.39
n0030_m01__004.inst -> Ticks: 7000.85 | Time: 5.156
n0030_m02__000.inst -> Ticks: 118241.76 | Time: 80.671
n0030_m02__001.inst -> Ticks: 1151.38 | Time: 0.968
n0030_m02__002.inst -> Ticks: 4405.65 | Time: 3.234
n0030_m02__003.inst -> Ticks: 23112.49 | Time: 17.14
n0030_m02__004.inst -> Ticks: 5486.39 | Time: 3.953
n0030_m03__000.inst -> Ticks: 996556.66 | Time: 716.484
n0030_m03__001.inst -> Ticks: 21331.01 | Time: 14.703
n0030_m03__002.inst -> Ticks: 68741.08 | Time: 45.781
