n0020_m01__000.inst -> Ticks: 148.17 | Time: 0.187 | BnB nodes: 1319
n0020_m01__001.inst -> Ticks: 182.97 | Time: 0.218 | BnB nodes: 1342
n0020_m01__002.inst -> Ticks: 444.63 | Time: 0.562 | BnB nodes: 1034
n0020_m01__003.inst -> Ticks: 12.16 | Time: 0.031 | BnB nodes: 0
n0020_m01__004.inst -> Ticks: 11.52 | Time: 0.015 | BnB nodes: 0
n0020_m02__000.inst -> Ticks: 197.34 | Time: 0.171 | BnB nodes: 970
n0020_m02__001.inst -> Ticks: 4743.72 | Time: 4.312 | BnB nodes: 6000
n0020_m02__002.inst -> Ticks: 776.74 | Time: 0.671 | BnB nodes: 2007
n0020_m02__003.inst -> Ticks: 458.16 | Time: 0.5 | BnB nodes: 966
n0020_m02__004.inst -> Ticks: 773.16 | Time: 0.703 | BnB nodes: 801
n0020_m03__000.inst -> Ticks: 1283.16 | Time: 0.984 | BnB nodes: 1074
n0020_m03__001.inst -> Ticks: 38.14 | Time: 0.062 | BnB nodes: 21
n0020_m03__002.inst -> Ticks: 932.07 | Time: 0.812 | BnB nodes: 1321
n0020_m03__003.inst -> Ticks: 11734.91 | Time: 8.656 | BnB nodes: 6095
n0020_m03__004.inst -> Ticks: 2705.22 | Time: 2.328 | BnB nodes: 3840
n0020_m04__000.inst -> Ticks: 1241.25 | Time: 1.218 | BnB nodes: 1432
n0020_m04__001.inst -> Ticks: 1641.23 | Time: 1.343 | BnB nodes: 1474
n0020_m04__002.inst -> Ticks: 1117.99 | Time: 0.937 | BnB nodes: 2136
n0020_m04__003.inst -> Ticks: 2038.05 | Time: 1.61 | BnB nodes: 1744
n0020_m04__004.inst -> Ticks: 804.63 | Time: 0.609 | BnB nodes: 1340
n0020_m05__000.inst -> Ticks: 1219.45 | Time: 1.046 | BnB nodes: 1589
n0020_m05__001.inst -> Ticks: 8174.33 | Time: 6.171 | BnB nodes: 8328
n0020_m05__002.inst -> Ticks: 885.61 | Time: 0.781 | BnB nodes: 1210
n0020_m05__003.inst -> Ticks: 224.48 | Time: 0.218 | BnB nodes: 569
n0020_m05__004.inst -> Ticks: 3367.94 | Time: 2.718 | BnB nodes: 4082
n0025_m01__000.inst -> Ticks: 52.29 | Time: 0.062 | BnB nodes: 259
n0025_m01__001.inst -> Ticks: 39.81 | Time: 0.062 | BnB nodes: 14
n0025_m01__002.inst -> Ticks: 71.68 | Time: 0.062 | BnB nodes: 338
n0025_m01__003.inst -> Ticks: 734.82 | Time: 0.593 | BnB nodes: 1737
n0025_m01__004.inst -> Ticks: 506.03 | Time: 0.453 | BnB nodes: 1183
n0025_m02__000.inst -> Ticks: 1289.01 | Time: 1.078 | BnB nodes: 1193
n0025_m02__001.inst -> Ticks: 275.98 | Time: 0.281 | BnB nodes: 522
n0025_m02__002.inst -> Ticks: 2269.68 | Time: 1.906 | BnB nodes: 1675
n0025_m02__003.inst -> Ticks: 953.74 | Time: 0.75 | BnB nodes: 1017
n0025_m02__004.inst -> Ticks: 2468.51 | Time: 1.906 | BnB nodes: 3025
n0025_m03__000.inst -> Ticks: 3056.26 | Time: 2.328 | BnB nodes: 1930
n0025_m03__001.inst -> Ticks: 4652.83 | Time: 3.375 | BnB nodes: 4645
n0025_m03__002.inst -> Ticks: 6282.98 | Time: 4.25 | BnB nodes: 2791
n0025_m03__003.inst -> Ticks: 2011.83 | Time: 1.609 | BnB nodes: 2363
n0025_m03__004.inst -> Ticks: 178.36 | Time: 0.203 | BnB nodes: 0
n0025_m04__000.inst -> Ticks: 20245.81 | Time: 15.39 | BnB nodes: 11891
n0025_m04__001.inst -> Ticks: 3102.46 | Time: 2.437 | BnB nodes: 4730
n0025_m04__002.inst -> Ticks: 4293.88 | Time: 3.187 | BnB nodes: 3727
n0025_m04__003.inst -> Ticks: 21088.53 | Time: 14.25 | BnB nodes: 10225
n0025_m04__004.inst -> Ticks: 52211.49 | Time: 36.5 | BnB nodes: 14500
n0025_m05__000.inst -> Ticks: 592.99 | Time: 0.531 | BnB nodes: 958
n0025_m05__001.inst -> Ticks: 1742.85 | Time: 1.375 | BnB nodes: 1788
n0025_m05__002.inst -> Ticks: 1352.05 | Time: 1.062 | BnB nodes: 971
n0025_m05__003.inst -> Ticks: 29160.51 | Time: 18.875 | BnB nodes: 9380
n0025_m05__004.inst -> Ticks: 4233.93 | Time: 3.125 | BnB nodes: 3178
n0030_m01__000.inst -> Ticks: 132.05 | Time: 0.125 | BnB nodes: 408
n0030_m01__001.inst -> Ticks: 538.72 | Time: 0.5 | BnB nodes: 555
n0030_m01__002.inst -> Ticks: 234.21 | Time: 0.203 | BnB nodes: 1213
n0030_m01__003.inst -> Ticks: 1764.56 | Time: 1.421 | BnB nodes: 1336
n0030_m01__004.inst -> Ticks: 7000.85 | Time: 5.187 | BnB nodes: 3263
n0030_m02__000.inst -> Ticks: 118241.76 | Time: 81.39 | BnB nodes: 39406
n0030_m02__001.inst -> Ticks: 1151.38 | Time: 1.046 | BnB nodes: 1003
n0030_m02__002.inst -> Ticks: 4405.65 | Time: 3.312 | BnB nodes: 4020
n0030_m02__003.inst -> Ticks: 23112.49 | Time: 17.296 | BnB nodes: 11315
n0030_m02__004.inst -> Ticks: 5486.39 | Time: 4.015 | BnB nodes: 2478
n0030_m03__000.inst -> Ticks: 996556.66 | Time: 701.015 | BnB nodes: 245384
n0030_m03__001.inst -> Ticks: 21331.01 | Time: 14.796 | BnB nodes: 7747
